ID,Produto,Categoria,Valor,Quantidade,Data
1,A,Alimentos,208.51,2,2024-05-27
2,A,Alimentos,307.38,10,2024-03-16
3,E,Roupas,58.04,3,2024-04-21
4,E,Moveis,121.37,1,2024-05-15
5,B,Roupas,426.47,10,2024-09-14
6,A,Alimentos,397.32,5,2024-07-23
7,A,Alimentos,358.09,5,2024-03-21
8,B,Roupas,452.72,9,2024-02-17
9,C,Eletronicos,198.75,7,2024-07-16
10,A,Eletronicos,93.47,2,2024-07-25
11,B,Eletronicos,473.79,1,2024-02-27
12,B,Moveis,469.7,8,2024-09-12
13,E,Eletronicos,303.68,3,2024-03-22
14,D,Alimentos,389.02,3,2024-08-13
15,B,Eletronicos,411.49,2,2024-08-13
16,B,Moveis,273.71,5,2024-06-18
17,C,Alimentos,60.04,2,2024-03-19
18,D,Eletronicos,178.59,5,2024-08-11
19,D,Moveis,376.41,2,2024-01-14
20,B,Alimentos,48.23,10,2024-03-25
21,B,Eletronicos,40.94,7,2024-03-17
22,C,Moveis,316.39,5,2024-06-12
23,D,Roupas,390.87,3,2024-07-26
24,C,Alimentos,153.97,5,2024-02-20
25,D,Eletronicos,356.21,10,2024-01-13
26,E,Moveis,480.22,1,2024-05-14
27,A,Eletronicos,440.05,3,2024-06-28
28,E,Roupas,155.57,7,2024-08-10
29,B,Roupas,351.63,4,2024-01-27
30,E,Eletronicos,79.12,6,2024-06-24
31,C,Roupas,441.18,10,2024-05-23
32,C,Roupas,140.29,4,2024-07-24
33,E,Moveis,472.3,2,2024-07-26
34,D,Alimentos,297.83,7,2024-04-15
35,A,Eletronicos,452.25,5,2024-03-15
36,C,Eletronicos,262.88,6,2024-03-22
37,C,Alimentos,157.36,2,2024-04-11
38,D,Roupas,102.7,1,2024-03-28
39,D,Moveis,79.04,2,2024-07-26
40,D,Eletronicos,412.98,2,2024-07-13
41,C,Moveis,342.27,10,2024-09-10
42,C,Roupas,151.03,7,2024-03-21
43,C,Eletronicos,267.95,3,2024-08-15
44,B,Eletronicos,198.26,7,2024-07-12
45,A,Eletronicos,80.16,6,2024-04-26
46,A,Eletronicos,287.59,7,2024-04-13
47,E,Alimentos,264.84,2,2024-03-12
48,B,Roupas,194.28,4,2024-09-27
49,C,Eletronicos,202.74,1,2024-08-13
50,D,Eletronicos,266.66,3,2024-01-18
51,B,Roupas,493.2,2,2024-01-20
52,B,Alimentos,291.4,6,2024-05-12
53,C,Alimentos,293.94,2,2024-04-24
54,D,Moveis,169.22,2,2024-01-10
55,D,Moveis,25.59,9,2024-05-17
56,D,Alimentos,207.54,10,2024-08-18
57,A,Roupas,75.35,1,2024-06-16
58,A,Alimentos,441.89,4,2024-08-26
59,C,Moveis,87.23,1,2024-05-11
60,A,Moveis,199.92,3,2024-09-27
61,B,Eletronicos,316.09,2,2024-07-15
62,D,Alimentos,452.77,5,2024-04-24
63,C,Moveis,236.65,8,2024-07-22
64,B,Roupas,222.03,5,2024-05-16
65,E,Alimentos,496.64,9,2024-07-28
66,E,Roupas,329.02,6,2024-03-22
67,A,Alimentos,145.78,6,2024-01-12
68,B,Eletronicos,272.45,7,2024-02-25
69,C,Moveis,81.57,4,2024-01-11
70,B,Roupas,299.47,4,2024-04-23
71,A,Moveis,430.16,9,2024-01-20
72,D,Eletronicos,116.64,9,2024-03-18
73,D,Eletronicos,52.32,9,2024-07-27
74,B,Moveis,436.2,9,2024-08-10
75,E,Alimentos,367.18,2,2024-07-25
76,B,Alimentos,337.36,2,2024-02-19
77,C,Alimentos,391.61,10,2024-05-24
78,A,Roupas,197.15,7,2024-02-10
79,C,Roupas,131.0,6,2024-06-14
80,E,Moveis,128.66,6,2024-05-12
81,C,Moveis,476.98,8,2024-04-14
82,B,Eletronicos,74.27,5,2024-03-13
83,A,Moveis,458.21,6,2024-07-27
84,C,Alimentos,496.07,5,2024-01-15
85,D,Alimentos,274.91,4,2024-01-10
86,C,Eletronicos,123.43,6,2024-07-14
87,A,Moveis,87.89,5,2024-09-25
88,E,Eletronicos,168.47,1,2024-03-13
89,B,Moveis,368.35,2,2024-04-17
90,D,Alimentos,246.59,4,2024-07-25
91,E,Alimentos,198.44,4,2024-08-22
92,D,Alimentos,461.54,6,2024-04-17
93,A,Roupas,396.87,5,2024-02-12
94,A,Roupas,92.88,7,2024-01-14
95,B,Roupas,133.84,2,2024-01-21
96,E,Moveis,365.8,5,2024-07-26
97,C,Eletronicos,45.01,1,2024-07-18
98,D,Moveis,22.19,8,2024-06-19
99,D,Moveis,251.38,10,2024-01-28
100,A,Roupas,198.6,6,2024-04-16
