ID,Produto,Categoria,Valor,Quantidade,Data,Total
1,A,Alimentos,208.51,2,2024-05-27 00:00:00,417.02
2,A,Alimentos,307.38,10,2024-03-16 00:00:00,3073.8
3,E,Roupas,58.04,3,2024-04-21 00:00:00,174.12
4,E,Moveis,121.37,1,2024-05-15 00:00:00,121.37
5,B,Roupas,426.47,10,2024-09-14 00:00:00,4264.700000000001
6,A,Alimentos,397.32,5,2024-07-23 00:00:00,1986.6
7,A,Alimentos,358.09,5,2024-03-21 00:00:00,1790.4499999999998
8,B,Roupas,452.72,9,2024-02-17 00:00:00,4074.4800000000005
9,C,Eletronicos,198.75,7,2024-07-16 00:00:00,1391.25
10,A,Eletronicos,93.47,2,2024-07-25 00:00:00,186.94
11,B,Eletronicos,473.79,1,2024-02-27 00:00:00,473.79
12,B,Moveis,469.7,8,2024-09-12 00:00:00,3757.6
13,E,Eletronicos,303.68,3,2024-03-22 00:00:00,911.04
14,D,Alimentos,389.02,3,2024-08-13 00:00:00,1167.06
15,B,Eletronicos,411.49,2,2024-08-13 00:00:00,822.98
16,B,Moveis,273.71,5,2024-06-18 00:00:00,1368.55
17,C,Alimentos,60.04,2,2024-03-19 00:00:00,120.08
18,D,Eletronicos,178.59,5,2024-08-11 00:00:00,892.95
19,D,Moveis,376.41,2,2024-01-14 00:00:00,752.82
20,B,Alimentos,48.23,10,2024-03-25 00:00:00,482.29999999999995
21,B,Eletronicos,40.94,7,2024-03-17 00:00:00,286.58
22,C,Moveis,316.39,5,2024-06-12 00:00:00,1581.9499999999998
23,D,Roupas,390.87,3,2024-07-26 00:00:00,1172.6100000000001
24,C,Alimentos,153.97,5,2024-02-20 00:00:00,769.85
25,D,Eletronicos,356.21,10,2024-01-13 00:00:00,3562.1
26,E,Moveis,480.22,1,2024-05-14 00:00:00,480.22
27,A,Eletronicos,440.05,3,2024-06-28 00:00:00,1320.15
28,E,Roupas,155.57,7,2024-08-10 00:00:00,1088.99
29,B,Roupas,351.63,4,2024-01-27 00:00:00,1406.52
30,E,Eletronicos,79.12,6,2024-06-24 00:00:00,474.72
31,C,Roupas,441.18,10,2024-05-23 00:00:00,4411.8
32,C,Roupas,140.29,4,2024-07-24 00:00:00,561.16
33,E,Moveis,472.3,2,2024-07-26 00:00:00,944.6
34,D,Alimentos,297.83,7,2024-04-15 00:00:00,2084.81
35,A,Eletronicos,452.25,5,2024-03-15 00:00:00,2261.25
36,C,Eletronicos,262.88,6,2024-03-22 00:00:00,1577.28
37,C,Alimentos,157.36,2,2024-04-11 00:00:00,314.72
38,D,Roupas,102.7,1,2024-03-28 00:00:00,102.7
39,D,Moveis,79.04,2,2024-07-26 00:00:00,158.08
40,D,Eletronicos,412.98,2,2024-07-13 00:00:00,825.96
41,C,Moveis,342.27,10,2024-09-10 00:00:00,3422.7
42,C,Roupas,151.03,7,2024-03-21 00:00:00,1057.21
43,C,Eletronicos,267.95,3,2024-08-15 00:00:00,803.8499999999999
44,B,Eletronicos,198.26,7,2024-07-12 00:00:00,1387.82
45,A,Eletronicos,80.16,6,2024-04-26 00:00:00,480.96
46,A,Eletronicos,287.59,7,2024-04-13 00:00:00,2013.1299999999999
47,E,Alimentos,264.84,2,2024-03-12 00:00:00,529.68
48,B,Roupas,194.28,4,2024-09-27 00:00:00,777.12
49,C,Eletronicos,202.74,1,2024-08-13 00:00:00,202.74
50,D,Eletronicos,266.66,3,2024-01-18 00:00:00,799.98
51,B,Roupas,493.2,2,2024-01-20 00:00:00,986.4
52,B,Alimentos,291.4,6,2024-05-12 00:00:00,1748.3999999999999
53,C,Alimentos,293.94,2,2024-04-24 00:00:00,587.88
54,D,Moveis,169.22,2,2024-01-10 00:00:00,338.44
55,D,Moveis,25.59,9,2024-05-17 00:00:00,230.31
56,D,Alimentos,207.54,10,2024-08-18 00:00:00,2075.4
57,A,Roupas,75.35,1,2024-06-16 00:00:00,75.35
58,A,Alimentos,441.89,4,2024-08-26 00:00:00,1767.56
59,C,Moveis,87.23,1,2024-05-11 00:00:00,87.23
60,A,Moveis,199.92,3,2024-09-27 00:00:00,599.76
61,B,Eletronicos,316.09,2,2024-07-15 00:00:00,632.18
62,D,Alimentos,452.77,5,2024-04-24 00:00:00,2263.85
63,C,Moveis,236.65,8,2024-07-22 00:00:00,1893.2
64,B,Roupas,222.03,5,2024-05-16 00:00:00,1110.15
65,E,Alimentos,496.64,9,2024-07-28 00:00:00,4469.76
66,E,Roupas,329.02,6,2024-03-22 00:00:00,1974.12
67,A,Alimentos,145.78,6,2024-01-12 00:00:00,874.6800000000001
68,B,Eletronicos,272.45,7,2024-02-25 00:00:00,1907.1499999999999
69,C,Moveis,81.57,4,2024-01-11 00:00:00,326.28
70,B,Roupas,299.47,4,2024-04-23 00:00:00,1197.88
71,A,Moveis,430.16,9,2024-01-20 00:00:00,3871.44
72,D,Eletronicos,116.64,9,2024-03-18 00:00:00,1049.76
73,D,Eletronicos,52.32,9,2024-07-27 00:00:00,470.88
74,B,Moveis,436.2,9,2024-08-10 00:00:00,3925.7999999999997
75,E,Alimentos,367.18,2,2024-07-25 00:00:00,734.36
76,B,Alimentos,337.36,2,2024-02-19 00:00:00,674.72
77,C,Alimentos,391.61,10,2024-05-24 00:00:00,3916.1000000000004
78,A,Roupas,197.15,7,2024-02-10 00:00:00,1380.05
79,C,Roupas,131.0,6,2024-06-14 00:00:00,786.0
80,E,Moveis,128.66,6,2024-05-12 00:00:00,771.96
81,C,Moveis,476.98,8,2024-04-14 00:00:00,3815.84
82,B,Eletronicos,74.27,5,2024-03-13 00:00:00,371.34999999999997
83,A,Moveis,458.21,6,2024-07-27 00:00:00,2749.2599999999998
84,C,Alimentos,496.07,5,2024-01-15 00:00:00,2480.35
85,D,Alimentos,274.91,4,2024-01-10 00:00:00,1099.64
86,C,Eletronicos,123.43,6,2024-07-14 00:00:00,740.58
87,A,Moveis,87.89,5,2024-09-25 00:00:00,439.45
88,E,Eletronicos,168.47,1,2024-03-13 00:00:00,168.47
89,B,Moveis,368.35,2,2024-04-17 00:00:00,736.7
90,D,Alimentos,246.59,4,2024-07-25 00:00:00,986.36
91,E,Alimentos,198.44,4,2024-08-22 00:00:00,793.76
92,D,Alimentos,461.54,6,2024-04-17 00:00:00,2769.2400000000002
93,A,Roupas,396.87,5,2024-02-12 00:00:00,1984.35
94,A,Roupas,92.88,7,2024-01-14 00:00:00,650.16
95,B,Roupas,133.84,2,2024-01-21 00:00:00,267.68
96,E,Moveis,365.8,5,2024-07-26 00:00:00,1829.0
97,C,Eletronicos,45.01,1,2024-07-18 00:00:00,45.01
98,D,Moveis,22.19,8,2024-06-19 00:00:00,177.52
